vcenter,location
PCIVCENTER02,WAG1
EPCIVCENTER101,WAG2
DTNVCENTER101,WAG2
DTSVCENTER101,WAG2
IDVCENTER101,WAG2
GENVCENTER101,WAG2
PCIVCENTER101,WAG2
IPTVCENTER102,WAG2
SENVCENTER02,WAG1
IPTVCENTER02,WAG1
SBVCENTER01,WAG1
SENVCENTER101,WAG2
REMVCENTER101,WAG2
epcivcenter01,WAG1
idvcenter01,WAG1
senvcenter01,WAG1
genvcenter01,WAG1
IPTVCENTER01,WAG1
IPTVCENTER101,WAG2
pw1sim-epciv10,WAG1
pw1sim-inetv10,WAG1
pw1sim-ipciv10,WAG1
pw1sim-npciv10,WAG1
pw2sim-epciv20,WAG2
pw2sim-inetv20,WAG2
pw2sim-ipciv20,WAG2
pw2sim-npciv20,WAG2
EDTSVCENTER101,WAG2
IPTVCENTER102,WAG2
it-s8sf-vcenter01,SFNY
